title,description,sentiment
McDonald&#39;s Packaging Gets A Colorful Makeover For A More &#39;Modern&#39; Look - Newsy,"McDonald's will roll out new bags, boxes and cups featuring a design it hopes will appeal to younger customers. See more at ...",0.2872727272727273
McDonald&#39;s Reusable Packaging - Are you loving it? 🍟🍔 #mcdonalds #reusable #plasticpollution,,0.6
McDonald s Plastic Kicks the Bucket,,0.0
Innovative Packaging by McDonalds at Milan Fashion Week,"During the Milan Fashion Week McDonald's launched the TableBag, a 100% recyclable creative project that transforms the city ...",0.5
McDonald&#39;s - Sustainability,McDonald's Austria is replacing plastic straws with recyclable paper ones as part of our global packaging and recycling strategy to ...,0.0
McDonalds Reusable Packaging,,0.0
Graphic Design Student Project - McDonald&#39;s Sustainable Packaging,This is a short animation advertising a (conceptual) range of biodegradable and compostable packaging for McDonald's.,0.0
McDonald’s new packaging redesign,"The American fast food chain's new packaging creatively displayed on a billboard in the form of motion graphics. For more, visit ...",0.24545454545454545
Innovative McDonald&#39;s Packaging Redesign By. Rob Bye,Check out our link partners: https://fiveid.com _ Innovative McDonald's Packaging Redesign By. Rob Bye ...,0.5
El nuevo packaging de McDonald’s (2021),Post en: https://www.comaporter.com/el-nuevo-packaging-de-mcdonalds/,0.0
Would You Eat From McDonald&#39;s Reusable Containers?,"McDonald's has introduced new reusable containers for dine-in orders in an effort to reduce waste, but some customers are ...",-0.03181818181818183
Re-packaging McDonald&#39;s,The One Centre unlocks the power of McDonald's packaging as a media vehicle with a new range that tells a fresh food story.,0.21818181818181817
Mc Donald’s new reusable coke packaging #youtubeshorts #shorts #mcdonalds #foodie,,0.13636363636363635
McDonalds Spaghetti | New Packaging  in a Small box #shorts #mcsphaghetti #newpackaging,shorts #mcsphaghetti #newpackaging.,-0.05681818181818182
What’s in my McDonald’s Canvas Bag? #mcdonalds #asmr #bags,,0.0
Mcdonalds changed their packaging,bycott #mcdonalds #usa #chicago #phalastine @TheFourthPowerNews Courtesy - Instagram: @makeupwithlaureen.,0.0
McDonald Packaging,All size businesses can benefit from website video marketing.,0.0
El sorprendente NUEVO PACKAGING de McDONALDS | REVIEW,El nuevo packaging de McDonald's moderniza su línea con ilustraciones minimalistas emocionalmente alegres. Mira la review ...,0.0
McDonald&#39;s🇫🇷: Now we all eat from the same bowl?!,"Thank you all in advance for likes, comments, whether they are critical or praise - it's super important to me! This year McDonald's ...",0.20833333333333331
McDonald&#39;s Facts 🍔🍟 #part9,Did you know that McDonald's is testing reusable packaging in select markets to reduce waste? This initiative is part of their ...,-0.2
McDonald&#39;s Green &amp; Good,"Watch the video to see how we're finding GREEN, sustainable and eco-friendly restaurant solutions to do what's GOOD for the ...",0.24999999999999997
McDonald’s new graphic packaging with a ‘playful point-of-view’,"Under the new illustration directly representing the food inside, the 'Fillet-O-Fish' box is covered with turquoise waves. For more ...",0.17454545454545453
10 McDonalds Packaging That You&#39;ll NEVER SEE AGAIN!!!,Here's a list of 10 McDonald's Packaging That You'll Never See Again. McDonald's has come up with some very eye-catching ...,0.2
ASMR McDonald’s Burger Packaging,,0.0
News November 1 1990 McDonalds changes its Packaging,"McDonalds' announces it is eliminating the styrofoam packaging it uses for its burgers, to be replaced with a paper product.",0.0
McDonald’s France goes GREEN,The term sustainable packaging has been evolving since a bit now but a very few brands have actually gone further to incorporate ...,-0.115
Arcos Dorados PR Boost #trending #food #janus #mcdonalds #environmentalawareness #earthdayeveryday,"Get ready to witness a game-changing sustainable packaging initiative! Discover how Arcos Dorados, in partnership with J&J ...",0.25
McDonald’s Plans to Go Green I Fortune,McDonald's says all of its food packaging materials will be eco-friendly by 2025. It also aims to offer recycling at all locations.,-0.2
Trying Israel 🇮🇱 McDonald’s for the first time #mcdonalds #israel,,0.25
McDonald&#39;s bans PFAS from its food packaging!,"McDonald's announced a new global sustainable packaging commitment, banning the class of toxic chemicals per- and ...",0.06818181818181818
McDonald&#39;s Germany&#39;s Sustainable Initiative: Cups Turned into Books,McDonald's Germany is taking sustainability to the next level by recycling used cold cups into children's books for our youngest ...,-0.3
how to make the McDonald&#39;s hamburger box?  paper tray forming machine,"Paper lid formig machine, food tray forming machine,cake cup making machine, take ou fast food box forming machine. if you are ...",0.2
McDonald&#39;s Secret Ingredients You Never Knew About,"In this video, I am going to break down every ingredient in each food at McDonald's... Avoid fast food garbage and eat real foods.",-0.03888888888888889
😡New McDonald&#39;s Packaging Is SHAMEFUL! How Can People Like This?,,0.0
McDonald&#39;s to speed shift away from plastic in Europe | AFP,"A McFlurry without its plastic lid, a wooden spoon: American fast food giant McDonald's is accelerating its strategy to minimize the ...",0.05
McDonald&#39;s Pokemon Happymeal #8 #pokemon #mcdonaldshappymeal,,0.0
First look at reusable dishes at McDonald’s #mcdonalds #dishes,,0.25
